sample_idx,t,actual_x,actual_y,pred_x,pred_y,band_lower_x,band_upper_x,band_lower_y,band_upper_y,method,heteroskedasticity
189,1,0.6074232547811086,-0.5164894946875451,0.5851051211357117,-0.5011885166168213,0.4920137629679854,0.678196479303438,-0.5942798747845476,-0.40809715844909505,CAFHT,easy
189,2,0.5893723736694002,-0.48740065174691516,0.5822959542274475,-0.49578142166137695,0.4892045960597212,0.6753873123951738,-0.5888727798291032,-0.4026900634936507,CAFHT,easy
189,3,0.5672796291036729,-0.47346159940199817,0.5649042725563049,-0.4817015528678894,0.4722330133401607,0.6575755317724492,-0.5743728120840337,-0.3890302936517452,CAFHT,easy
189,4,0.5512433332904817,-0.45312697157806475,0.5486465096473694,-0.4666385352611542,0.4575879860698704,0.6397050332248684,-0.5576970588386532,-0.3755800116836552,CAFHT,easy
189,5,0.5518342602100356,-0.4350115647754689,0.5379252433776855,-0.4519849419593811,0.448516483391295,0.627334003364076,-0.5413937019457716,-0.3625761819729906,CAFHT,easy
189,6,0.5366926209428807,-0.4089781775974482,0.52342289686203,-0.4346882104873657,0.4332266789963865,0.6136191147276735,-0.5248844283530092,-0.3444919926217222,CAFHT,easy
189,7,0.49640661414695375,-0.37773556903142874,0.49852484464645386,-0.4130063056945801,0.3926832228185643,0.6043664664743434,-0.5188479275224697,-0.30716468386669055,CAFHT,easy
189,8,0.4672180239982107,-0.3793665285341888,0.4717988967895508,-0.3969425559043884,0.36765825490332854,0.575939538675773,-0.5010831977906106,-0.2928019140181662,CAFHT,easy
189,9,0.4738192323545699,-0.34461571149017173,0.45422977209091187,-0.37645387649536133,0.3473764831848819,0.5610830609969418,-0.4833071654013913,-0.26960058758933136,CAFHT,easy
189,10,0.4520978760151284,-0.33087114291442704,0.43636655807495117,-0.3562036454677582,0.3303990528883682,0.5423340632615341,-0.46217115065434117,-0.2502361402811752,CAFHT,easy
189,11,0.4420648562252232,-0.34350711813596985,0.42176109552383423,-0.343787282705307,0.31669925494001583,0.5268229361076526,-0.4488491232891254,-0.23872544212148858,CAFHT,easy
189,12,0.42695950984163794,-0.2440793488553289,0.4057561159133911,-0.3114285469055176,0.26193274865582755,0.5495794831709547,-0.45525191416308114,-0.16760517964795404,CAFHT,easy
189,13,0.42398227362595287,-0.29030762869730303,0.3953689932823181,-0.2913406789302826,0.2593652298551638,0.5313727567094725,-0.42734444235743696,-0.15533691550312823,CAFHT,easy
189,14,0.34022778258913605,-0.2888152128338833,0.3680005669593811,-0.27896830439567566,0.24000016220590478,0.4960009717128574,-0.40696870914915195,-0.1509678996421994,CAFHT,easy
189,15,0.36786432414087483,-0.22897279089605826,0.3487367630004883,-0.2586105763912201,0.2289234717639605,0.46855005423701607,-0.3784238676277479,-0.13879728515469233,CAFHT,easy
189,16,0.3610450658914511,-0.20990827947559426,0.33453989028930664,-0.23499172925949097,0.22309746741299624,0.44598231316561704,-0.34643415213580137,-0.12354930638318057,CAFHT,easy
189,17,0.33523027263921806,-0.19720965824364442,0.3195868134498596,-0.2117675542831421,0.20868120053505124,0.430492426364668,-0.3226731671979505,-0.10086194136833372,CAFHT,easy
189,18,0.2345631119919301,-0.16126981133958157,0.28536558151245117,-0.1851591169834137,0.11813828839304558,0.45259287463185677,-0.3523864101028193,-0.0179318238640081,CAFHT,easy
189,19,0.2727272727272727,-0.16300940438871475,,,0.11813828839304558,0.45259287463185677,-0.3523864101028193,-0.0179318238640081,CAFHT,easy
190,0,0.06896551724137931,-0.7210031347962382,0.0707685723900795,-0.6741111278533936,-0.014012603638810316,0.15554974841896932,-0.7588923038822833,-0.5893299518245038,CAFHT,easy
190,1,0.06156545297539789,-0.6917380311427591,0.06272655725479126,-0.6629589796066284,-0.022054618774098554,0.14750773328368108,-0.7477401556355182,-0.5781778035777386,CAFHT,easy
190,2,0.0618071782847814,-0.6643436539639902,0.06708618253469467,-0.6509848833084106,-0.017694993494195142,0.1518673585635845,-0.7357660593373004,-0.5662037072795209,CAFHT,easy
190,3,0.055152827427522935,-0.636069741727913,0.06091415882110596,-0.6320902705192566,-0.023444022821343523,0.14527234046355544,-0.716448452161706,-0.5477320888768071,CAFHT,easy
190,4,0.05411938027350535,-0.6066362163192297,0.059093594551086426,-0.6101150512695312,-0.024830790428924915,0.14301797953109777,-0.6940394362495427,-0.5261906662895198,CAFHT,easy
190,5,0.03338186909156797,-0.5878826639225495,0.051556311547756195,-0.5914043188095093,-0.03192534255658574,0.13503796565209814,-0.6748859729138512,-0.5079226647051673,CAFHT,easy
190,6,0.04886026413641875,-0.5677866423822384,0.0493554025888443,-0.5707771182060242,-0.033674586426596945,0.13238539160428553,-0.6538071072214654,-0.48774712919058294,CAFHT,easy
190,7,0.022456003534988028,-0.5527119667752525,0.04169975966215134,-0.5533494353294373,-0.04086963005115798,0.12426914937546066,-0.6359188250427465,-0.47078004561612796,CAFHT,easy
190,8,0.036442452705364066,-0.49461067368166817,0.03696613758802414,-0.5203437209129333,-0.06201828001695187,0.13595055519300014,-0.6193281385179094,-0.42135930330795734,CAFHT,easy
190,9,0.03523560131493913,-0.4930920584063056,0.03270290046930313,-0.49727320671081543,-0.06308028857265326,0.1284860895112595,-0.5930563957527719,-0.401490017668859,CAFHT,easy
190,10,-0.01924309838274229,-0.46112656622449505,0.020431265234947205,-0.46960872411727905,-0.0865460685573369,0.1274085990272313,-0.5765860579095631,-0.3626313903249949,CAFHT,easy
