domain,experiment_id,file_path,method,shift_condition,dgp_or_dataset,n_train,n_cal,n_test,T,alpha,n_seeds,seed,overall_coverage,coverage_std_pooled,coverage_se,mean_width,width_std_pooled,early_coverage_mean,late_coverage_mean,coverage_degradation,time_resolved_metrics,aci_stepsize,covariate_mode,with_shift,mixed,notes
finance,tech_noshift_20240301_20240430,results/finance/json/finance_tech_noshift_20240301_20240430.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2024-03-04→2024-04-30,199,198,72,42,0.1,1,42,0.877710027100271,,,0.04816880272926126,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
finance,tech_noshift_20240401_20240531,results/finance/json/finance_tech_noshift_20240401_20240531.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2024-04-02→2024-05-31,198,198,72,44,0.1,1,42,0.8578811369509044,,,0.04182746913142837,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
finance,tech_noshift_20240501_20240628,results/finance/json/finance_tech_noshift_20240501_20240628.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2024-05-02→2024-06-28,199,198,72,41,0.1,1,42,0.8909722222222223,,,0.048142242503123406,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
finance,tech_noshift_20240603_20240731,results/finance/json/finance_tech_noshift_20240603_20240731.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2024-06-04→2024-07-31,199,198,72,41,0.1,1,42,0.8548611111111111,,,0.04818813073610998,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
finance,tech_noshift_20240701_20240830,results/finance/json/finance_tech_noshift_20240701_20240830.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2024-07-02→2024-08-30,199,198,72,44,0.1,1,42,0.8853359173126615,,,0.060834065086980756,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
finance,tech_noshift_20240801_20240930,results/finance/json/finance_tech_noshift_20240801_20240930.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2024-08-02→2024-09-30,199,198,72,42,0.1,1,42,0.912940379403794,,,0.056747160352348974,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
finance,tech_noshift_20240903_20241031,results/finance/json/finance_tech_noshift_20240903_20241031.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2024-09-04→2024-10-31,199,198,72,43,0.1,1,42,0.8865740740740741,,,0.046576440324257666,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
finance,tech_noshift_20241001_20241129,results/finance/json/finance_tech_noshift_20241001_20241129.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2024-10-02→2024-11-29,199,198,72,43,0.1,1,42,0.8759920634920635,,,0.047691776221475385,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
finance,tech_noshift_20241101_20241231,results/finance/json/finance_tech_noshift_20241101_20241231.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2024-11-04→2024-12-31,199,198,72,41,0.1,1,42,0.8802083333333334,,,0.05067415228877311,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
finance,tech_noshift_20241202_20250131,results/finance/json/finance_tech_noshift_20241202_20250131.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2024-12-03→2025-01-31,199,198,72,41,0.1,1,42,0.8663194444444444,,,0.04884694652287082,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
